spacing,order,R,cond,Q_orig,Q_deformed,Q_change_mean,Q_change_max_abs,q_min_deformed
linear,C2,44.77777777777778,3755491088329290.5,0.9987772790536814,0.9199064318463092,-0.07887084720737242,0.326254671158707,-1.6960933875612119
linear,C2,50.0,5702760812200304.0,0.9987772790536814,0.92102991475408,-0.07774736429960147,0.3203369902048443,-1.6960929428845213
linear,C4,0.2,15995705687.02145,0.9987772790536814,0.8029127126424755,-0.1958645664112059,3.9961145473792836,-2.996636608000749
linear,C4,0.6666666666666666,14443027370217.58,0.9987772790536814,0.786049610314861,-0.21272766873882062,3.999527913959632,-2.999662948778082
linear,C4,1.1333333333333333,318352789809116.25,0.9987772790536814,0.7478214985835638,-0.2509557804701175,3.999143208450822,-2.9995398209756656
linear,C4,1.5999999999999999,2519367307742033.5,0.9987772790536814,0.77259744853446,-0.2261798305192215,3.998605761687686,-2.9992673623236543
linear,C4,2.0666666666666664,7874605244153721.0,0.9987772790536814,0.7986052964781583,-0.2001719825755233,3.6123204558674242,-2.6130126865413117
linear,C4,2.533333333333333,2.293008336755325e+16,0.9987772790536814,0.8167605605726533,-0.18201671848102807,2.9736626638122163,-1.9742735400723888
linear,C4,3.0,1.7931643393427766e+16,0.9987772790536814,0.8293213153713226,-0.169455963682359,2.4764673373747246,-1.6962034366692142
linear,C4,8.222222222222221,6.320925640074748e+18,0.9987772790536814,0.8706614376128443,-0.1281158414408371,1.0396739044405772,-1.6961000378682272
linear,C4,13.444444444444445,3.242382847997407e+18,0.9987772790536814,0.8797940708481458,-0.11898320820553572,0.8263145356137115,-1.6960919524319373
linear,C4,18.666666666666668,3.300543583640026e+19,0.9987772790536814,0.8838184542452723,-0.11495882480840916,0.7468504266571054,-1.6960909052189397
linear,C4,23.88888888888889,1.455985663617076e+19,0.9987772790536814,0.8862293716651237,-0.11254790738855783,0.7005834858436457,-1.6961108394141684
linear,C4,29.11111111111111,3.244323422527271e+18,0.9987772790536814,0.8879157227234196,-0.11086155633026187,0.6733854234514592,-1.6961003326554382
linear,C4,34.333333333333336,9.27130106664113e+18,0.9987772790536814,0.8891652802089741,-0.10961199884470728,0.6562073709530067,-1.6961027556633725
linear,C4,39.55555555555556,1.5123789227277007e+19,0.9987772790536814,0.8903668632233207,-0.10841041583036079,0.642457608075099,-1.6960632634514012
linear,C4,44.77777777777778,1.201637703104246e+19,0.9987772790536814,0.891370434338006,-0.10740684471567548,0.6420315892029324,-1.6960238736387478
linear,C4,50.0,9.427733813813903e+18,0.9987772790536814,0.8924605372782294,-0.1063167417754521,0.6256504195282971,-1.696095011925114
